Week Ending,Provider State,Residents Weekly Confirmed COVID-19,Residents Weekly All Deaths,Residents Weekly COVID-19 Deaths,Total Number of Occupied Beds
2020-06-28,NY,282.0,450.0,54.0,86973.0
2020-06-28,OH,311.0,401.0,58.0,65055.0
2020-06-28,OK,25.0,81.0,5.0,16821.0
2020-06-28,OR,12.0,66.0,0.0,6716.0
2020-06-28,PA,553.0,810.0,112.0,65809.0
2020-06-28,PR,0.0,0.0,0.0,63.0
2020-06-28,RI,24.0,59.0,13.0,6244.0
2020-06-28,SC,110.0,99.0,27.0,15779.0
2020-06-28,SD,4.0,38.0,2.0,5297.0
2020-06-28,TN,78.0,165.0,12.0,24912.0
2020-06-28,TX,601.0,454.0,86.0,82216.0
2020-06-28,UT,49.0,21.0,3.0,5097.0
2020-06-28,VA,91.0,148.0,35.0,24678.0
2020-06-28,VT,1.0,15.0,0.0,2198.0
2020-06-28,WA,48.0,67.0,10.0,13388.0
2020-06-28,WI,19.0,116.0,8.0,19871.0
2020-06-28,WV,0.0,54.0,0.0,8630.0
2020-06-28,WY,0.0,13.0,0.0,2201.0
2020-07-05,AK,0.0,2.0,0.0,663.0
2020-07-05,AL,371.0,130.0,41.0,20491.0
2020-07-05,AR,155.0,83.0,18.0,16188.0
2020-07-05,AZ,254.0,103.0,42.0,10243.0
2020-07-05,CA,1169.0,388.0,116.0,88373.0
2020-07-05,CO,39.0,87.0,11.0,14560.0
2020-07-05,CT,37.0,81.0,5.0,17815.0
2020-07-05,DC,0.0,8.0,0.0,1924.0
2020-07-05,DE,5.0,14.0,2.0,3435.0
2020-07-05,FL,637.0,455.0,106.0,65194.0
2020-07-05,GA,367.0,192.0,46.0,29263.0
2020-07-05,GU,0.0,0.0,0.0,10.0
2020-07-05,HI,1.0,8.0,0.0,3429.0
2020-07-05,IA,111.0,142.0,8.0,21423.0
2020-07-05,ID,28.0,25.0,2.0,3821.0
2020-07-05,IL,272.0,371.0,72.0,58482.0
2020-07-05,IN,132.0,276.0,76.0,34650.0
2020-07-05,KS,55.0,111.0,7.0,15940.0
2020-07-05,KY,169.0,118.0,35.0,21269.0
2020-07-05,LA,221.0,180.0,77.0,22796.0
2020-07-05,MA,51.0,139.0,40.0,30823.0
2020-07-05,MD,108.0,195.0,58.0,20110.0
2020-07-05,ME,23.0,38.0,3.0,5467.0
2020-07-05,MI,77.0,536.0,29.0,32628.0
2020-07-05,MN,66.0,149.0,18.0,21167.0
2020-07-05,MO,173.0,202.0,26.0,35603.0
2020-07-05,MS,250.0,89.0,30.0,14195.0
2020-07-05,MT,0.0,19.0,1.0,3684.0
2020-07-05,NC,151.0,219.0,46.0,33936.0
2020-07-05,ND,2.0,19.0,0.0,4919.0
2020-07-05,NE,3.0,81.0,4.0,10206.0
2020-07-05,NH,30.0,45.0,8.0,5633.0
2020-07-05,NJ,106.0,459.0,73.0,33413.0
2020-07-05,NM,38.0,21.0,6.0,4903.0
2020-07-05,NV,61.0,19.0,5.0,5040.0
2020-07-05,NY,158.0,426.0,40.0,86960.0
2020-07-05,OH,257.0,402.0,38.0,65147.0
2020-07-05,OK,46.0,71.0,5.0,16747.0
2020-07-05,OR,20.0,76.0,4.0,6713.0
2020-07-05,PA,267.0,897.0,110.0,65863.0
2020-07-05,PR,0.0,0.0,0.0,81.0
2020-07-05,RI,15.0,36.0,11.0,6248.0
2020-07-05,SC,261.0,115.0,34.0,15715.0
2020-07-05,SD,6.0,27.0,2.0,5294.0
2020-07-05,TN,62.0,176.0,19.0,24881.0
2020-07-05,TX,1105.0,451.0,120.0,82054.0
2020-07-05,UT,46.0,34.0,9.0,5055.0
2020-07-05,VA,80.0,128.0,23.0,24684.0
2020-07-05,VT,0.0,14.0,0.0,2193.0
2020-07-05,WA,68.0,102.0,6.0,13247.0
2020-07-05,WI,24.0,132.0,7.0,19911.0
2020-07-05,WV,3.0,42.0,0.0,8627.0
2020-07-05,WY,0.0,10.0,0.0,2202.0
2020-07-12,AK,0.0,5.0,0.0,660.0
2020-07-12,AL,458.0,117.0,42.0,20311.0
2020-07-12,AR,35.0,78.0,13.0,16183.0
2020-07-12,AZ,294.0,117.0,59.0,10113.0
2020-07-12,CA,1058.0,526.0,187.0,87657.0
2020-07-12,CO,19.0,71.0,10.0,14590.0
2020-07-12,CT,32.0,88.0,12.0,17813.0
2020-07-12,DC,1.0,11.0,1.0,1932.0
2020-07-12,DE,5.0,14.0,2.0,3451.0
2020-07-12,FL,1374.0,457.0,133.0,65159.0
2020-07-12,GA,478.0,208.0,59.0,29239.0
2020-07-12,GU,0.0,0.0,0.0,11.0
2020-07-12,HI,0.0,9.0,0.0,3424.0
2020-07-12,IA,147.0,148.0,12.0,21379.0
2020-07-12,ID,26.0,17.0,3.0,3849.0
2020-07-12,IL,185.0,361.0,61.0,58991.0
2020-07-12,IN,188.0,262.0,89.0,34527.0
2020-07-12,KS,16.0,87.0,9.0,15960.0
2020-07-12,KY,172.0,109.0,23.0,21154.0
2020-07-12,LA,339.0,220.0,91.0,22744.0
2020-07-12,MA,35.0,157.0,33.0,30233.0
2020-07-12,MD,186.0,147.0,14.0,20102.0
2020-07-12,ME,5.0,44.0,13.0,5428.0
2020-07-12,MI,113.0,544.0,16.0,32611.0
2020-07-12,MN,36.0,151.0,16.0,21170.0
2020-07-12,MO,184.0,186.0,27.0,35563.0
2020-07-12,MS,303.0,101.0,39.0,14051.0
2020-07-12,MT,1.0,16.0,0.0,3667.0
2020-07-12,NC,177.0,191.0,31.0,33362.0
2020-07-12,ND,10.0,24.0,1.0,4929.0
2020-07-12,NE,11.0,79.0,3.0,10189.0
2020-07-12,NH,8.0,45.0,8.0,5630.0
2020-07-12,NJ,103.0,288.0,60.0,33528.0
2020-07-12,NM,16.0,35.0,7.0,4868.0
2020-07-12,NV,31.0,30.0,6.0,4993.0
2020-07-12,NY,137.0,415.0,24.0,87055.0
2020-07-12,OH,280.0,405.0,70.0,64869.0
2020-07-12,OK,71.0,89.0,11.0,16721.0
2020-07-12,OR,10.0,68.0,3.0,6652.0
2020-07-12,PA,249.0,853.0,73.0,65804.0
2020-07-12,PR,0.0,0.0,0.0,92.0
2020-07-12,RI,0.0,27.0,8.0,6183.0
2020-07-12,SC,368.0,129.0,41.0,15617.0
2020-07-12,SD,18.0,24.0,2.0,5285.0
2020-07-12,TN,96.0,166.0,15.0,24896.0
2020-07-12,TX,1976.0,567.0,186.0,81399.0
2020-07-12,UT,73.0,24.0,13.0,4914.0
2020-07-12,VA,179.0,119.0,14.0,24707.0
2020-07-12,VT,1.0,14.0,0.0,2167.0
2020-07-12,WA,72.0,74.0,13.0,13204.0
2020-07-12,WI,14.0,148.0,10.0,19853.0
2020-07-12,WV,6.0,41.0,0.0,8606.0
2020-07-12,WY,0.0,9.0,0.0,2135.0
2020-07-19,AK,0.0,2.0,0.0,706.0
2020-07-19,AL,531.0,158.0,60.0,20212.0
2020-07-19,AR,122.0,86.0,28.0,15924.0
2020-07-19,AZ,212.0,113.0,44.0,9996.0
2020-07-19,CA,1357.0,502.0,182.0,87296.0
